Sr No	Gene ID	Specie	Gene name	Gene Description
S000000560	YCL055W	S. cerevisiae	KAR4	KARyogamy
S000000562	YCL057W	S. cerevisiae	PRD1	PRoteinase yscD
S000000564	YCL059C	S. cerevisiae	KRR1	contains KRR-R motif
S000000569	YCL064C	S. cerevisiae	CHA1	Catabolism of Hydroxy Amino acids
S000000574	YCL069W	S. cerevisiae	VBA3	Vacuolar Basic Amino acid transporter
S000000575	YCL073C	S. cerevisiae	GEX1	Glutathione EXchanger
S000000595	YCR002C	S. cerevisiae	CDC10	Cell Division Cycle
S000000596	YCR003W	S. cerevisiae	MRPL32	Mitochondrial Ribosomal Protein, Large subunit
S000000597	YCR004C	S. cerevisiae	YCP4	
S000000598	YCR005C	S. cerevisiae	CIT2	CITrate synthase
S000000601	YCR008W	S. cerevisiae	SAT4	
S000000602	YCR009C	S. cerevisiae	RVS161	Reduced Viability on Starvation
S000000603	YCR010C	S. cerevisiae	ADY2	Accumulation of DYads
S000000604	YCR011C	S. cerevisiae	ADP1	ATP-Dependent Permease
S000000605	YCR012W	S. cerevisiae	PGK1	3-PhosphoGlycerate Kinase
S000000607	YCR014C	S. cerevisiae	POL4	POLymerase
S000000608	YCR015C	S. cerevisiae	CTO1	Cold TOlerance
S000000610	YCR017C	S. cerevisiae	CWH43	Calcofluor White Hypersensitive
S000000612	YCR019W	S. cerevisiae	MAK32	MAintenance of Killer
S000000618	YCR024C	S. cerevisiae	SLM5	Synthetic Lethal with Mss4
S000000621	YCR026C	S. cerevisiae	NPP1	ecto-Nucleotide Pyrophosphatase/Phosphodiesterase
S000000622	YCR027C	S. cerevisiae	RHB1	RHeB homolog
S000000623	YCR028C	S. cerevisiae	FEN2	FENpropimorph resistance
S000000626	YCR030C	S. cerevisiae	SYP1	Suppressor of Yeast Profilin deletion
S000000627	YCR031C	S. cerevisiae	RPS14A	Ribosomal Protein of the Small subunit
S000000628	YCR032W	S. cerevisiae	BPH1	Beige Protein Homolog
S000000630	YCR034W	S. cerevisiae	ELO2	fatty acid ELOngation
S000000631	YCR035C	S. cerevisiae	RRP43	Ribosomal RNA Processing
S000000632	YCR036W	S. cerevisiae	RBK1	RiBoKinase
S000000633	YCR037C	S. cerevisiae	PHO87	PHOsphate metabolism
S000000634	YCR038C	S. cerevisiae	BUD5	BUD site selection
S000000638	YCR042C	S. cerevisiae	TAF2	TATA binding protein-Associated Factor
S000000640	YCR044C	S. cerevisiae	PER1	protein Processing in the ER
S000000641	YCR045C	S. cerevisiae	RRT12	Regulator of rDNA Transcription
S000000642	YCR046C	S. cerevisiae	IMG1	Integrity of Mitochondrial Genome
S000000643	YCR047C	S. cerevisiae	BUD23	BUD site selection
S000000644	YCR048W	S. cerevisiae	ARE1	Acyl-coenzyme A: cholesterol acyl transferase-Related Enzyme
S000000647	YCR051W	S. cerevisiae		
S000000648	YCR052W	S. cerevisiae	RSC6	Remodel the Structure of Chromatin
S000000649	YCR053W	S. cerevisiae	THR4	THReonine requiring
S000000653	YCR057C	S. cerevisiae	PWP2	Periodic tryptophan (W) Protein
S000000655	YCR059C	S. cerevisiae	YIH1	Yeast Impact Homolog
S000000656	YCR060W	S. cerevisiae	TAH1	Tpr-containing protein Associated with Hsp90
S000000657	YCR061W	S. cerevisiae	TVS1	Transmembrane protein Vital for Stress response
S000000659	YCR063W	S. cerevisiae	BUD31	BUD site selection
S000000662	YCR066W	S. cerevisiae	RAD18	RADiation sensitive
S000000663	YCR067C	S. cerevisiae	SED4	Suppressor of Erd2 Deletion
S000000664	YCR068W	S. cerevisiae	ATG15	AuTophaGy related
S000000665	YCR069W	S. cerevisiae	CPR4	Cyclosporin-sensitive Proline Rotamase
S000000668	YCR072C	S. cerevisiae	RSA4	RiboSome Assembly
S000000669	YCR073C	S. cerevisiae	SSK22	Suppressor of Sensor Kinase
S000000671	YCR075C	S. cerevisiae	ERS1	ERd Suppressor
S000000673	YCR077C	S. cerevisiae	PAT1	Protein Associated with Topoisomerase II
S000000679	YCR083W	S. cerevisiae	TRX3	ThioRedoXin
S000000680	YCR084C	S. cerevisiae	TUP1	dTMP-UPtake
S000000684	YCR088W	S. cerevisiae	ABP1	Actin Binding Protein
S000000686	YCR090C	S. cerevisiae		
S000000687	YCR091W	S. cerevisiae	KIN82	protein KINase
S000000688	YCR092C	S. cerevisiae	MSH3	MutS Homolog
S000000689	YCR093W	S. cerevisiae	CDC39	Cell Division Cycle
S000000690	YCR094W	S. cerevisiae	CDC50	Cell Division Cycle
S000000691	YCR095C	S. cerevisiae	OCA4	Oxidant-induced Cell-cycle Arrest
S000000695	YCR098C	S. cerevisiae	GIT1	GlycerophosphoInosiTol
S000000696	YCR099C	S. cerevisiae		
S000000697	YCR100C	S. cerevisiae	EMA35	Efficient Mitochondria targeting-Associated protein
S000000699	YCR102C	S. cerevisiae		
S000000702	YCR105W	S. cerevisiae	ADH7	Alcohol DeHydrogenase
S000000704	YCR107W	S. cerevisiae	AAD3	Aryl-Alcohol Dehydrogenase
S000000718	YCR073W-A	S. cerevisiae	SOL2	Suppressor Of Los1-1
S000000728	YEL002C	S. cerevisiae	WBP1	Wheat germ agglutinin-Binding Protein
S000000729	YEL003W	S. cerevisiae	GIM4	Gene Involved in Microtubule biogenesis
S000000730	YEL004W	S. cerevisiae	YEA4	
S000000732	YEL006W	S. cerevisiae	YEA6	
S000000733	YEL007W	S. cerevisiae	MIT1	Muc1 expressed Independent of TEC1
S000000735	YEL009C	S. cerevisiae	GCN4	General Control Nonderepressible
S000000737	YEL011W	S. cerevisiae	GLC3	GLyCogen
S000000738	YEL012W	S. cerevisiae	UBC8	UBiquitin-Conjugating
S000000739	YEL013W	S. cerevisiae	VAC8	VACuole related
S000000742	YEL016C	S. cerevisiae	NPP2	ecto-Nucleotide Pyrophosphatase/Phosphodiesterase
S000000745	YEL019C	S. cerevisiae	MMS21	Methyl MethaneSulfonate sensitivity
S000000746	YEL020C	S. cerevisiae	PXP1	PeroXisomal Protein
S000000748	YEL022W	S. cerevisiae	GEA2	Guanine nucleotide Exchange on ARF
S000000749	YEL023C	S. cerevisiae		
S000000750	YEL024W	S. cerevisiae	RIP1	Rieske Iron-sulfur Protein
S000000752	YEL026W	S. cerevisiae	SNU13	Small NUclear ribonucleoprotein associated
S000000753	YEL027W	S. cerevisiae	VMA3	Vacuolar Membrane Atpase
S000000755	YEL029C	S. cerevisiae	BUD16	BUD site selection
S000000756	YEL030W	S. cerevisiae	ECM10	ExtraCellular Mutant
S000000757	YEL031W	S. cerevisiae	SPF1	Sensitivity to Pichia Farinosa killer toxin
S000000758	YEL032W	S. cerevisiae	MCM3	MiniChromosome Maintenance
S000000760	YEL034W	S. cerevisiae	HYP2	HYPusine-containing protein
S000000762	YEL036C	S. cerevisiae	ANP1	ANP and osmotic sensitive
S000000763	YEL037C	S. cerevisiae	RAD23	RADiation sensitive
S000000764	YEL038W	S. cerevisiae	UTR4	Unidentified TRanscript
S000000765	YEL039C	S. cerevisiae	CYC7	CYtochrome C
S000000766	YEL040W	S. cerevisiae	UTR2	Unidentified TRanscript
S000000767	YEL041W	S. cerevisiae	YEF1	
S000000768	YEL042W	S. cerevisiae	GDA1	Guanosine DiphosphatAse
S000000769	YEL043W	S. cerevisiae	GTA1	Golgi vesicle Trafficking Associated
S000000770	YEL044W	S. cerevisiae	IES6	Ino Eighty Subunit
S000000772	YEL046C	S. cerevisiae	GLY1	GLYcine requiring
S000000773	YEL047C	S. cerevisiae	FRD1	Fumarate ReDuctase
S000000776	YEL050C	S. cerevisiae	RML2	Ribosomal Mitochondrial Large
S000000777	YEL051W	S. cerevisiae	VMA8	Vacuolar Membrane Atpase
S000000778	YEL052W	S. cerevisiae	AFG1	ATPase Family Gene
S000000779	YEL053C	S. cerevisiae	MAK10	MAintenance of Killer
S000000780	YEL054C	S. cerevisiae	RPL12A	Ribosomal Protein of the Large subunit
S000000781	YEL055C	S. cerevisiae	POL5	POLymerase
S000000782	YEL056W	S. cerevisiae	HAT2	Histone AcetylTransferase
S000000784	YEL058W	S. cerevisiae	PCM1	PhosphoaCetylglucosamine Mutase
S000000786	YEL060C	S. cerevisiae	PRB1	PRoteinase B
S000000787	YEL061C	S. cerevisiae	CIN8	Chromosome INstability
S000000788	YEL062W	S. cerevisiae	NPR2	Nitrogen Permease Regulator
S000000789	YEL063C	S. cerevisiae	CAN1	CANavanine resistance
S000000790	YEL064C	S. cerevisiae	AVT2	Amino acid Vacuolar Transport
S000000791	YEL065W	S. cerevisiae	SIT1	Siderophore Iron Transport
S000000792	YEL066W	S. cerevisiae	HPA3	Histone and other Protein Acetyltransferase
S000000795	YEL069C	S. cerevisiae	HXT13	HeXose Transporter
S000000797	YEL071W	S. cerevisiae	DLD3	D-Lactate Dehydrogenase
S000000804	YER002W	S. cerevisiae	NOP16	NucleOlar Protein
S000000805	YER003C	S. cerevisiae	PMI40	PhosphoMannose Isomerase
S000000807	YER005W	S. cerevisiae	YND1	Yeast Nucleoside Diphosphatase
S000000808	YER006W	S. cerevisiae	NUG1	NUclear GTPase
S000000809	YER007W	S. cerevisiae	PAC2	Perish in the Absence of Cin8p
S000000810	YER008C	S. cerevisiae	SEC3	SECretory
S000000811	YER009W	S. cerevisiae	NTF2	Nuclear Transport Factor
S000000812	YER010C	S. cerevisiae		
S000000814	YER012W	S. cerevisiae	PRE1	PRoteinase yscE
S000000815	YER013W	S. cerevisiae	PRP22	Pre-mRNA Processing
S000000816	YER014W	S. cerevisiae	HEM14	HEMe biosynthesis
S000000817	YER015W	S. cerevisiae	FAA2	Fatty Acid Activation
S000000818	YER016W	S. cerevisiae	BIM1	BInding to Microtubules
S000000819	YER017C	S. cerevisiae	AFG3	ATPase Family Gene
S000000821	YER019W	S. cerevisiae	ISC1	Inositol phosphoSphingolipid phospholipase C
S000000822	YER020W	S. cerevisiae	GPA2	G Protein Alpha subunit
S000000823	YER021W	S. cerevisiae	RPN3	Regulatory Particle Non-ATPase
S000000824	YER022W	S. cerevisiae	SRB4	Suppressor of RNA polymerase B
S000000825	YER023W	S. cerevisiae	PRO3	PROline requiring
S000000826	YER024W	S. cerevisiae	YAT2	
S000000827	YER025W	S. cerevisiae	GCD11	General Control Derepressed
S000000828	YER026C	S. cerevisiae	CHO1	CHOline requiring
S000000829	YER027C	S. cerevisiae	GAL83	GALactose metabolism
S000000831	YER029C	S. cerevisiae	SMB1	SmB/B' homolog
S000000833	YER031C	S. cerevisiae	YPT31	Yeast Protein Two
S000000838	YER036C	S. cerevisiae	ARB1	ATP-binding cassette protein involved in Ribosome Biogenesis
S000000839	YER037W	S. cerevisiae	PHM8	PHosphate Metabolism
S000000841	YER039C	S. cerevisiae	HVG1	Homologous to VRG4
S000000843	YER041W	S. cerevisiae	YEN1	
S000000844	YER042W	S. cerevisiae	MXR1	peptide Methionine sulfoXide Reductase
S000000845	YER043C	S. cerevisiae	SAH1	S-Adenosyl-l-Homocysteine hydrolase
S000000846	YER044C	S. cerevisiae	ERG28	ERGosterol biosynthesis
S000000849	YER047C	S. cerevisiae	SAP1	Sin1 Associated Protein
S000000850	YER048C	S. cerevisiae	CAJ1	
S000000851	YER049W	S. cerevisiae	TPA1	Termination and PolyAdenylation
S000000852	YER050C	S. cerevisiae	RSM18	Ribosomal Small subunit of Mitochondria
S000000853	YER051W	S. cerevisiae	JHD1	JmjC domain-containing Histone Demethylase
S000000854	YER052C	S. cerevisiae	HOM3	HOMoserine requiring
S000000855	YER053C	S. cerevisiae	PIC2	PI Carrier
S000000857	YER055C	S. cerevisiae	HIS1	HIStidine
S000000858	YER056C	S. cerevisiae	FCY2	FluoroCYtosine resistance
S000000859	YER057C	S. cerevisiae	HMF1	Homologous Mmf1p Factor
S000000860	YER058W	S. cerevisiae	PET117	PETite colonies
S000000861	YER059W	S. cerevisiae	PCL6	Pho85 CycLin
S000000862	YER060W	S. cerevisiae	FCY21	FluoroCYtosine resistance
S000000863	YER061C	S. cerevisiae	CEM1	Condensing Enzyme with Mitochondrial function
S000000864	YER062C	S. cerevisiae	GPP2	Glycerol-3-Phosphate Phosphatase
S000000865	YER063W	S. cerevisiae	THO1	suppressor of the Transcriptional defect of Hpr1 by Overexpression
S000000867	YER065C	S. cerevisiae	ICL1	IsoCitrate Lyase
S000000868	YER066W	S. cerevisiae	RRT13	Regulator of rDNA Transcription
S000000870	YER068W	S. cerevisiae	MOT2	Modulator Of Transcription
S000000871	YER069W	S. cerevisiae	ARG56	ARGinine requiring
S000000872	YER070W	S. cerevisiae	RNR1	RiboNucleotide Reductase
S000000873	YER071C	S. cerevisiae	TDA2	Topoisomerase I Damage Affected
S000000874	YER072W	S. cerevisiae	VTC1	Vacuolar Transporter Chaperone
S000000875	YER073W	S. cerevisiae	ALD5	ALdehyde Dehydrogenase
S000000876	YER074W	S. cerevisiae	RPS24A	Ribosomal Protein of the Small subunit
S000000877	YER075C	S. cerevisiae	PTP3	Protein Tyrosine Phosphatase
S000000880	YER078C	S. cerevisiae	ICP55	Intermediate Cleaving Peptidase
S000000882	YER080W	S. cerevisiae	AIM9	Altered Inheritance rate of Mitochondria
S000000883	YER081W	S. cerevisiae	SER3	SERine requiring
S000000884	YER082C	S. cerevisiae	UTP7	U Three Protein
S000000888	YER086W	S. cerevisiae	ILV1	IsoLeucine-plus-Valine requiring
S000000889	YER087W	S. cerevisiae	AIM10	Altered Inheritance rate of Mitochondria
S000000891	YER089C	S. cerevisiae	PTC2	Phosphatase Two C
S000000892	YER090W	S. cerevisiae	TRP2	TRyPtophan
S000000893	YER091C	S. cerevisiae	MET6	METhionine requiring
S000000895	YER093C	S. cerevisiae	TSC11	Temperature-sensitive Suppressors of Csg2 mutants
S000000896	YER094C	S. cerevisiae	PUP3	PUtative Proteasome subunit
S000000897	YER095W	S. cerevisiae	RAD51	RADiation sensitive
S000000898	YER096W	S. cerevisiae	SHC1	Sporulation-specific Homolog of CSD4
S000000900	YER098W	S. cerevisiae	UBP9	UBiquitin-specific Protease
S000000901	YER099C	S. cerevisiae	PRS2	PhosphoRibosylpyrophosphate Synthetase
S000000902	YER100W	S. cerevisiae	UBC6	UBiquitin-Conjugating
S000000903	YER101C	S. cerevisiae	AST2	ATPase STabilizing
S000000904	YER102W	S. cerevisiae	RPS8B	Ribosomal Protein of the Small subunit
S000000905	YER103W	S. cerevisiae	SSA4	Stress-Seventy subfamily A
S000000907	YER105C	S. cerevisiae	NUP157	NUclear Pore
S000000909	YER107C	S. cerevisiae	GLE2	GLFG LEthal
S000000912	YER110C	S. cerevisiae	KAP123	KAryoPherin
S000000914	YER112W	S. cerevisiae	LSM4	Like SM
S000000915	YER113C	S. cerevisiae	TMN3	TransMembrane Nine
S000000916	YER114C	S. cerevisiae	BOI2	Bem1 (One) Interacting protein
S000000918	YER116C	S. cerevisiae	SLX8	Synthetic Lethal of unknown (X) function
S000000919	YER117W	S. cerevisiae	RPL23B	Ribosomal Protein of the Large subunit
S000000920	YER118C	S. cerevisiae	SHO1	Synthetic, High Osmolarity-sensitive
S000000921	YER119C	S. cerevisiae	AVT6	Amino acid Vacuolar Transport
S000000924	YER122C	S. cerevisiae	GLO3	GLyOxalase
S000000925	YER123W	S. cerevisiae	YCK3	Yeast Casein Kinase
S000000926	YER124C	S. cerevisiae	DSE1	Daughter Specific Expression
S000000927	YER125W	S. cerevisiae	RSP5	Reverses Spt- Phenotype
S000000928	YER126C	S. cerevisiae	NSA2	Nop Seven Associated
S000000929	YER127W	S. cerevisiae	LCP5	Lethal with Conditional Pap1
S000000931	YER129W	S. cerevisiae	SAK1	Snf1 Activating Kinase
S000000933	YER131W	S. cerevisiae	RPS26B	Ribosomal Protein of the Small subunit
S000000935	YER133W	S. cerevisiae	GLC7	GLyCogen
S000000936	YER134C	S. cerevisiae		
S000000938	YER136W	S. cerevisiae	GDI1	GDP Dissociation Inhibitor
S000000941	YER139C	S. cerevisiae	RTR1	Regulator of TRanscription
S000000942	YER140W	S. cerevisiae	EMP65	ER Membrane Protein of 65 kDa
S000000943	YER141W	S. cerevisiae	COX15	Cytochrome c OXidase
S000000944	YER142C	S. cerevisiae	MAG1	3-MethylAdenine DNA Glycosylase
S000000945	YER143W	S. cerevisiae	DDI1	DNA Damage Inducible
S000000946	YER144C	S. cerevisiae	UBP5	UBiquitin-specific Protease
S000000947	YER145C	S. cerevisiae	FTR1	Fe TRansporter
S000000948	YER146W	S. cerevisiae	LSM5	Like SM
S000000950	YER148W	S. cerevisiae	SPT15	SuPpressor of Ty insertions
S000000953	YER151C	S. cerevisiae	UBP3	UBiquitin-specific Protease
S000000954	YER152C	S. cerevisiae		
S000000956	YER154W	S. cerevisiae	OXA1	cytochrome OXidase Activity
S000000957	YER155C	S. cerevisiae	BEM2	Bud EMergence
S000000958	YER156C	S. cerevisiae	MYG1	
S000000959	YER157W	S. cerevisiae	COG3	Conserved Oligomeric Golgi complex
S000000961	YER159C	S. cerevisiae	BUR6	Bypass UAS Requirement
S000000963	YER161C	S. cerevisiae	SPT2	SuPpressor of Ty's
S000000964	YER162C	S. cerevisiae	RAD4	RADiation sensitive
S000000965	YER163C	S. cerevisiae	GCG1	Gamma-glutamyl Cyclotransferase acting on Glutathione
S000000966	YER164W	S. cerevisiae	CHD1	Chromatin organization modifier, Helicase, and DNA-binding domains
S000000967	YER165W	S. cerevisiae	PAB1	Poly(A) Binding protein
S000000968	YER166W	S. cerevisiae	DNF1	Drs2 Neo1 Family
S000000970	YER168C	S. cerevisiae	CCA1	tRNA CCA-pyrophosphorylase
S000000971	YER169W	S. cerevisiae	RPH1	Regulator of PHR1
S000000972	YER170W	S. cerevisiae	ADK2	ADenylate Kinase
S000000973	YER171W	S. cerevisiae	RAD3	RADiation sensitive
S000000974	YER172C	S. cerevisiae	BRR2	Bad Response to Refrigeration
S000000975	YER173W	S. cerevisiae	RAD24	RADiation sensitive
S000000976	YER174C	S. cerevisiae	GRX4	GlutaRedoXin
S000000978	YER176W	S. cerevisiae	ECM32	ExtraCellular Mutant
S000000979	YER177W	S. cerevisiae	BMH1	Brain Modulosignalin Homolog
S000000980	YER178W	S. cerevisiae	PDA1	Pyruvate Dehydrogenase Alpha
S000000981	YER179W	S. cerevisiae	DMC1	Disrupted Meiotic cDNA
S000000984	YER182W	S. cerevisiae	FMP10	Found in Mitochondrial Proteome
S000000985	YER183C	S. cerevisiae	FAU1	Folinic Acid Utilization
S000000987	YER185W	S. cerevisiae	PUG1	Protoporphyrin Uptake Gene
S000000993	YHL001W	S. cerevisiae	RPL14B	Ribosomal Protein of the Large subunit
S000000994	YHL002W	S. cerevisiae	HSE1	Has Symptoms of class E mutants; resembles Hbp, Stam and East
S000000995	YHL003C	S. cerevisiae	LAG1	Longevity Assurance Gene
S000000996	YHL004W	S. cerevisiae	MRP4	Mitochondrial Ribosomal Protein
S000000999	YHL007C	S. cerevisiae	STE20	STErile
S000001000	YHL008C	S. cerevisiae		
S000001001	YHL009C	S. cerevisiae	YAP3	Yeast AP-1
S000001002	YHL010C	S. cerevisiae	ETP1	Ethanol Tolerance Protein
S000001003	YHL011C	S. cerevisiae	PRS3	PhosphoRibosylpyrophosphate Synthetase
S000001004	YHL012W	S. cerevisiae		
S000001005	YHL013C	S. cerevisiae	OTU2	member of the Ovarian TUmor family
S000001006	YHL014C	S. cerevisiae	YLF2	
S000001007	YHL015W	S. cerevisiae	RPS20	Ribosomal Protein of the Small subunit
S000001008	YHL016C	S. cerevisiae	DUR3	Degradation of URea
S000001009	YHL017W	S. cerevisiae		
S000001010	YHL018W	S. cerevisiae	MCO14	Mitochondrial Class One protein of 14 kDa
S000001011	YHL019C	S. cerevisiae	APM2	clathrin Adaptor Protein complex Medium chain
S000001012	YHL020C	S. cerevisiae	OPI1	OverProducer of Inositol
S000001013	YHL021C	S. cerevisiae	AIM17	Altered Inheritance rate of Mitochondria
S000001014	YHL022C	S. cerevisiae	SPO11	SPOrulation
S000001019	YHL027W	S. cerevisiae	RIM101	Regulator of IME2
S000001021	YHL029C	S. cerevisiae	OCA5	Oxidant-induced Cell-cycle Arrest
S000001022	YHL030W	S. cerevisiae	ECM29	ExtraCellular Mutant
S000001023	YHL031C	S. cerevisiae	GOS1	GOlgi Snare
S000001024	YHL032C	S. cerevisiae	GUT1	Glycerol UTilization
S000001025	YHL033C	S. cerevisiae	RPL8A	Ribosomal Protein of the Large subunit
S000001027	YHL035C	S. cerevisiae	VMR1	Vacuolar Multidrug Resistance
S000001028	YHL036W	S. cerevisiae	MUP3	Methionine UPtake
S000001031	YHL039W	S. cerevisiae	EFM1	Elongation Factor Methyltransferase
S000001032	YHL040C	S. cerevisiae	ARN1	AFT1 ReguloN
S000001039	YHL047C	S. cerevisiae	ARN2	AFT1 ReguloN
S000001043	YHR001W	S. cerevisiae	OSH7	OxySterol binding protein Homolog
S000001044	YHR002W	S. cerevisiae	LEU5	LEUcine biosynthesis
S000001045	YHR003C	S. cerevisiae	TCD1	tRNA ThreonylCarbamoyladenosine Dehydratase
S000001046	YHR004C	S. cerevisiae	NEM1	Nuclear Envelope Morphology
S000001047	YHR005C	S. cerevisiae	GPA1	G Protein Alpha subunit
S000001049	YHR007C	S. cerevisiae	ERG11	ERGosterol biosynthesis
S000001050	YHR008C	S. cerevisiae	SOD2	SuperOxide Dismutase
S000001051	YHR009C	S. cerevisiae	TDA3	Topoisomerase I Damage Affected
S000001052	YHR010W	S. cerevisiae	RPL27A	Ribosomal Protein of the Large subunit
S000001053	YHR011W	S. cerevisiae	DIA4	Digs Into Agar
S000001054	YHR012W	S. cerevisiae	VPS29	Vacuolar Protein Sorting
S000001055	YHR013C	S. cerevisiae	ARD1	ARrest Defective
S000001057	YHR015W	S. cerevisiae	MIP6	Mex67-Interacting Protein
S000001059	YHR017W	S. cerevisiae	YSC83	
S000001060	YHR018C	S. cerevisiae	ARG4	ARGinine requiring
S000001061	YHR019C	S. cerevisiae	DED81	Defines Essential Domain
S000001062	YHR020W	S. cerevisiae		
S000001063	YHR021C	S. cerevisiae	RPS27B	Ribosomal Protein of the Small subunit
S000001064	YHR022C	S. cerevisiae		
S000001065	YHR023W	S. cerevisiae	MYO1	MYOsin
S000001066	YHR024C	S. cerevisiae	MAS2	Mitochondrial ASsembly
S000001067	YHR025W	S. cerevisiae	THR1	THReonine requiring
S000001068	YHR026W	S. cerevisiae	VMA16	Vacuolar Membrane Atpase
S000001069	YHR027C	S. cerevisiae	RPN1	Regulatory Particle Non-ATPase
S000001070	YHR028C	S. cerevisiae	DAP2	Dipeptidyl AminoPeptidase
S000001072	YHR030C	S. cerevisiae	SLT2	Suppressor of the LyTic phenotype
S000001073	YHR031C	S. cerevisiae	RRM3	rDNA Recombination Mutation
S000001074	YHR032W	S. cerevisiae	ERC1	Ethionine Resistance Conferring
S000001075	YHR033W	S. cerevisiae		
S000001076	YHR034C	S. cerevisiae	PIH1	Protein Interacting with Hsp90
S000001077	YHR035W	S. cerevisiae	NEL1	Non-ERES Localized Sec23 homolog 1
S000001078	YHR036W	S. cerevisiae	BRL1	BRr6 Like protein
S000001079	YHR037W	S. cerevisiae	PUT2	Proline UTilization
S000001080	YHR038W	S. cerevisiae	RRF1	Ribosome Recycling Factor
S000001081	YHR039C	S. cerevisiae	MSC7	Meiotic Sister-Chromatid recombination
S000001082	YHR040W	S. cerevisiae	BCD1	Box C/D snoRNA accumulation
S000001083	YHR041C	S. cerevisiae	SRB2	Suppressor of RNA polymerase B
S000001084	YHR042W	S. cerevisiae	NCP1	NADP-Cytochrome P450 reductase
S000001087	YHR045W	S. cerevisiae		
S000001088	YHR046C	S. cerevisiae	INM1	INositol Monophosphatase
S000001089	YHR047C	S. cerevisiae	AAP1	Arginine/alanine AminoPeptidase
S000001090	YHR048W	S. cerevisiae	YHK8	
S000001091	YHR049W	S. cerevisiae	FSH1	Family of Serine Hydrolases
S000001092	YHR050W	S. cerevisiae	SMF2	Suppressor of Mitochondria import Function
S000001093	YHR051W	S. cerevisiae	COX6	Cytochrome c OXidase
S000001094	YHR052W	S. cerevisiae	CIC1	Core Interacting Component
S000001099	YHR057C	S. cerevisiae	CPR2	Cyclosporin A-sensitive Proline Rotamase
S000001100	YHR058C	S. cerevisiae	MED6	MEDiator complex
S000001101	YHR059W	S. cerevisiae	FYV4	Function required for Yeast Viability
S000001104	YHR062C	S. cerevisiae	RPP1	Ribonuclease P Protein
S000001105	YHR063C	S. cerevisiae	PAN5	PANtothenate biosynthesis
S000001106	YHR064C	S. cerevisiae	SSZ1	
S000001107	YHR065C	S. cerevisiae	RRP3	Ribosomal RNA Processing
S000001108	YHR066W	S. cerevisiae	SSF1	Suppressor of ste4 (Four)
S000001109	YHR067W	S. cerevisiae	HTD2	Hydroxyacyl-Thioester Dehydratase
S000001110	YHR068W	S. cerevisiae	DYS1	DeoxyhYpusine Synthase
S000001111	YHR069C	S. cerevisiae	RRP4	Ribosomal RNA Processing
S000001112	YHR070W	S. cerevisiae	TRM5	tRNA Methyltransferase
S000001113	YHR071W	S. cerevisiae	PCL5	Pho85 CycLin
S000001114	YHR072W	S. cerevisiae	ERG7	ERGosterol biosynthesis
S000001115	YHR073W	S. cerevisiae	OSH3	OxySterol binding protein Homolog
